epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8515,1.21377,3.69787,1.60652,0.01908,0.66667,0.15688,0.10573,0.84489,4.31882,1.44638,0.0001428,0.0001428,0.0001428
2,199.011,1.04127,3.53053,1.49264,0.01427,0.91667,0.27766,0.17984,0.89991,4.27156,1.49282,0.000278249,0.000278249,0.000278249
3,300.04,0.96737,3.19925,1.42586,0.01,1,0.39008,0.26425,1.08026,4.15294,1.79601,0.000398855,0.000398855,0.000398855
4,400.511,1.00848,2.97771,1.45031,0.71338,0.25062,0.44109,0.31011,1.11447,3.73266,1.76,0.000504616,0.000504616,0.000504616
5,501.221,1.06153,2.70953,1.4762,0.47769,0.38606,0.51307,0.34688,1.06502,3.51502,1.7824,0.000572628,0.000572628,0.000572628
6,601.921,1.04764,2.52787,1.45196,0.58208,0.43964,0.41768,0.29396,1.19619,3.49829,1.85486,0.000537285,0.000537285,0.000537285
7,702.043,1.0147,2.26066,1.44443,0.50578,0.50122,0.41879,0.25028,1.30563,3.30459,1.88311,0.000501942,0.000501942,0.000501942
8,802.365,0.96492,2.12163,1.40893,0.70988,0.35134,0.51399,0.37917,1.00925,3.07789,1.5836,0.000466599,0.000466599,0.000466599
9,903.206,0.9483,1.87924,1.38342,0.55976,0.37463,0.46298,0.33936,0.9444,3.02081,1.58879,0.000431256,0.000431256,0.000431256
10,1003.76,0.91292,1.84447,1.33883,0.56468,0.60985,0.60086,0.41308,1.01507,2.92983,1.63765,0.000395913,0.000395913,0.000395913
11,1105.04,0.80835,2.21874,1.41184,0.5193,0.65862,0.57966,0.41575,1.06024,2.94931,1.76458,0.00036057,0.00036057,0.00036057
12,1204.66,0.78604,2.08538,1.42505,0.43672,0.76275,0.64477,0.4936,1.04281,2.66627,1.68787,0.000325227,0.000325227,0.000325227
13,1303.83,0.71609,1.88108,1.30787,0.66447,0.55107,0.62003,0.46985,0.94692,2.57086,1.59018,0.000289884,0.000289884,0.000289884
14,1403.66,0.6614,1.70942,1.25679,0.57461,0.68833,0.62437,0.4817,0.86955,2.53363,1.48665,0.000254541,0.000254541,0.000254541
15,1503.73,0.61933,1.60434,1.20968,0.54371,0.6266,0.61028,0.47669,0.82645,2.56978,1.41031,0.000219198,0.000219198,0.000219198
16,1603.5,0.62646,1.57823,1.2198,0.57397,0.66023,0.69374,0.5537,0.84136,2.30861,1.37873,0.000183855,0.000183855,0.000183855
17,1702.15,0.57927,1.45924,1.17394,0.5811,0.74147,0.68962,0.55391,0.87259,2.21922,1.40216,0.000148512,0.000148512,0.000148512
18,1800.72,0.56671,1.42404,1.14831,0.68548,0.73037,0.70746,0.559,0.84748,2.15715,1.36294,0.000113169,0.000113169,0.000113169
19,1899.65,0.56414,1.37296,1.1709,0.74035,0.6872,0.70442,0.55469,0.80599,2.13102,1.34963,7.7826e-05,7.7826e-05,7.7826e-05
20,2002.33,0.52656,1.3249,1.11252,0.76307,0.63849,0.72686,0.59587,0.80244,2.10537,1.3195,4.2483e-05,4.2483e-05,4.2483e-05
